sentence	predicted_label	True_label
सोमवार तड़के करीब चार बजे से पंचाचूली, हंसलिंग, राजरंभा, रालम, नंदादेवी की चोटियों से बर्फीला तूफान उठना शुरू हुआ।	SADNESS	SADNESS
दो दिन में 1500 उड़ानें रद्द हो चुकी हैं।	SADNESS	SADNESS
24 घंटे में 400 लोग एयरलिफ्ट किए।	OPTIMISM	OPTIMISM
इसके चलते हुए हिमस्खलनों से तकरीबन ढेर सारे घर तबाह हो गए और सड़कें बंद हो गई हैं।	SADNESS	SADNESS
ठीक इसी समय राउरकेला-बारासुआ सेक्शन पर स्थित चांदीपोश रेलवे स्टेशन पर 50 माओवादियों ने हमला किया।	DISGUST	FEAR/ANXIETY
दिल्ली विश्वद्यालय के प्रॉफेसर जी.एस. रूनवाल मानते हैं कि हिमालय क्षेत्र की भूगर्भीय हलचल को इससे अलग करके नहीं देखा जा सकता।	OPTIMISM	SYMPATHY/PENSIVENESS
स्थानीय चाय, काफी, गर्म तासीर के खाने पीने की स्टालों में अधिक भीड़ दिखाई दी।	SURPRISE	NO-EMOTION
सैकड़ों गाव ऐसे हैं जहा जलस्तर 10-15 मीटर नीचे खिसक गया है।	SADNESS	FEAR/ANXIETY
वैसे, कुछ लोग नींद में इतने बेसुध थे कि उन्हें भूकंप आने का पता ही नहीं चला।	SADNESS	SYMPATHY/PENSIVENESS
इससे वहां तैनात 36 राष्ट्रीय राइफल्स के तीन जवान लापता हो गए।	SADNESS	SADNESS
navbharat_2009_1_13_3971443 मुंबई हमले की सुनवाई के लिए स्पेशल जज मुंबई: एम. एल. तहलियानी को 26 नवंबर को मुंबई में हुए आतंकवादी हमले से जुड़े मामले की सुनवाई के लिए स्पेशल जज नियुक्त किया गया है।	NO-EMOTION	NO-EMOTION
धमाके के बाद पुलिस ने इलाके को घेर लिया और ट्राम सेवा को भी रोक दिया।	OPTIMISM	OPTIMISM
ज्यादा लोग अन्नपूर्णा सर्किट में मारे गए हैं जहां के बर्फीले तूफान में इसराइल और पोलैंड के दो-दो नागरिकों और आठ नेपाली नागरिकों की मौत हो गई।सर्किट	SADNESS	SADNESS
सीबीआई अदालत के पूर्व जज तहलियानी फिलहाल बॉम्बे हाईकोर्ट में रजिस्ट्रार (निरीक्षण) हैं।	NO-EMOTION	NO-EMOTION
पूरे प्रदेश में सामान्य औसत से भी 53 फीसद कम बारिश हुई है।	SADNESS	SADNESS
उधर यूपी, पंजाब और मध्य प्रदेश में भी शीतलहर के हालात बने हुए हैं।	SADNESS	SADNESS
अफसरों के मुताबिक, अमेरिका में अब तक 19 लोगों की मौत हो चुकी है।	SADNESS	SADNESS
अस्पताल के सूत्रों ने यहां बताया कि दस लोग सड़क के किनारे लगे होर्डिंग गिरने से घायल हो गए।	SYMPATHY/PENSIVENESS	SYMPATHY/PENSIVENESS
शाम में गलन बढ़ी तो लोग घरों मेें जा दुबके।	SADNESS	SYMPATHY/PENSIVENESS
हिमालय की चोटियों से बर्फीले तूफान के साथ धुआं आसमान की ओर बढ़ने लगा।	SADNESS	SADNESS
लेह क्षेत्र में न्यूनतम तापमान माइनस 17.2, जबकि करगिल में न्यूनतम तापमान 13.2 डिग्री सेल्सियस रिकॉर्ड किया गया।	SADNESS	SADNESS
एजेंसियां	NO-EMOTION	NO-EMOTION
दरअसल, तय कार्यक्रम के मुताबिक भारतीय टीम को पाकिस्तान का दौरा करना था लेकिन मुंबई में हुए आतंकवादी हमलों के बाद उपजी स्थिति के मद्देनजर भारत ने यह दौरा रद्द कर दिया था।	OPTIMISM	SURPRISE
blizzard मध्य नेपाल में बर्फीले तूफान और हिमस्खलन की कई घटनाओं में कम से कम 26 ट्रैकर्स और और तीन किसानों के मारे जाने की खबर है।सबसे	SADNESS	SADNESS
इसके चलते लोगों को खराब मौसम और भारी बर्फबारी का सामना करना पड़ रहा है।	SADNESS	SADNESS
अभी तक किसी के घायल होने की कोई जानकारी नहीं मिली है।	JOY	OPTIMISM
जागरण संवाददाता, चरखी दादरी : सोमवार को तापमान में दो डिग्री की बढ़ोत्तरी दर्ज किए जाने के बावजूद बीती रात से सुबह तक धुंध पड़ने, शीतलहर चलने से ठंड का प्रकोप बना रहा।	JOY	SADNESS
वॉशिंगटन (एएफपी):	NO-EMOTION	NO-EMOTION
इनमें से 4 प्रतिबंधित भारतीय कम्युनिस्ट पार्टी (माओवादी) की वर्दी में थे।	SADNESS	NO-EMOTION
तमिलनाडु में पिछले साल बारिश के मौसम में कुछ इसी तरह का विनाशकारी दृशय देखने को मिला था।	FEAR/ANXIETY	SADNESS
नई दिल्ली, जागरण न्यूज समेत पूरा उत्तर भारत जबर्दस्त शीतलहर की चपेट में है।	SADNESS	SADNESS
मुनस्यारी नगर में सुबह से ही तेज हवाओं का असर होने लगा।	SADNESS	SADNESS
इसमें सवार दो बीकन कर्मियों में एक की मौके पर ही मौत हो गई, जबकि दूसरा गंभीर रूप से घायल हो गया। तीन वाहनों के हिमस्खलन की चपेट में आने की जानकारी मिलते ही स्थानीय लोगों ने पुलिस को सूचित किया। 	SADNESS	SADNESS
इस दौरान मौसम खराब होने के कारण वे भुजखर्क में ही रुके रहे।	SADNESS	SADNESS
अभियान में तेजी लाने के लिए ढेर सारी मशीनरी की भी मदद ली जा रही है।	SYMPATHY/PENSIVENESS	SYMPATHY/PENSIVENESS
बर्फीले तूफान से उच्च हिमालयी क्षेत्रों में मकानों को नुकसान पहुंचने की आशंका है।	SADNESS	SADNESS
बर्फ का कुछ हिस्सा टूटा और मेजर ने हाथ बाहर निकालकर अंगुलियां हिलानी शुरू कीं। 	SADNESS	SADNESS
का महीना ट्रैकिंग के लिए अच्छा माना जाता है।	NO-EMOTION	NO-EMOTION
लेकिन इससे पहले ही वह एयरपोर्ट के रेडारों को नुकसान पहुंचा चुका था, जिसकी वजह से एयर इंडिया एक्सप्रेस की उड़ानें बुधवार से ही प्रभावित चल रही थीं।	SADNESS	SYMPATHY/PENSIVENESS
उच्च हिमालयी क्षेत्र में सोमवार सुबह चार बजे से पूरे आठ घंटे तक बर्फीला तूफान चला।	SADNESS	SADNESS
वहीं गोरखपुर, कुशीनगर और देवरिया में तीन-तीन, जबकि बस्ती, संतकबीरनगर और महराजगंज में एक-एक के मरने की सूचना है।	SADNESS	SADNESS
इससे लोगों को गर्मी से राहत मिली हुई थी।	JOY	JOY
जम्मू कश्मीरः कुपवाड़ा में हिमस्खलन की चपेट में आया बुलडोजर एक की मौत, दो कुपवाड़ा-केरन के फरकियान टाप में हिमस्खलन की चपेट में आने से बीकन के बुलडोजर चालक अमनदीप सिंह गंभीर रूप से घायल हो गए।	SADNESS	SADNESS
अन्नदाता ने कर्ज का सहारा लेकर धान की रोपाई तो कर ली, लेकिन इसे जिंदा रखने के लिए बरसात जरूरी है।	OPTIMISM	SYMPATHY/PENSIVENESS
सरकार ने बचाव कामों में वैश्विक एजेंसियों और स्थानीय लोगों की मदद के लिए सेना के हेलिकॉप्टरों, नौसेना की नौकाओं और हजारों सैनिकों को तैनात किया है।	JOY	OPTIMISM
लेकिन धमाके के तरीके से इसके पीछे बर्बर संगठन बोको हराम की ओऱ से किए जाने पर संदेह किया जा रहा है।	OPTIMISM	OPTIMISM
हालांकि, सेना ने तीन दिन पहले ही हिमस्खलन को लेकर चेतावनी जारी की थी।	SADNESS	SADNESS
पुंछ नगर में कल रात्रि करीब ७.४५ बजे अचानक मौसम खराब हो गया और देखते ही देखते नगर में तेज आंधी चलने लगी, जिसकी अनुमानित गति १६० से १८० किलोमीटर प्रति घंटा आंकी गई।	SADNESS	SADNESS
इसमें 28 वॉल्यूम हैं और 200 गवाहों के बयान दर्ज हैं।	SADNESS	NO-EMOTION
विपक्षी एनसीपी ने इस मामले को बीजेपी के नेतृत्‍व वाली सरकार का ‘सत्‍ता का घमंड’ करार दिया है।	OPTIMISM	DISGUST
ने कहा कि तीनों जवानों के शव बरामद कर लिए गए हैं।	SADNESS	SADNESS
अमेरिका में गत अक्टूबर में आए चक्रवाती तूफान सैंडी के विनाश की यादें अभी धुंधली नहीं पड़ी थीं कि एक और तूफान ने तबाही मचा दी है।	SADNESS	SADNESS
यहां हुए नक्सली हमले में होमगार्ड का 1 जवान शहीद हो गया।	SADNESS	SADNESS
